"researcher","date","location","song","placement","time","type","genre","species","style","coloration","jam_leader","jam_elements","notes","notes_time"
"Jah","2011/5/27","Bethel, NY","Stash","Mid-set",673,"Acid Jazz","Type 1","Basic Tension and Release (Stash)","Dark, Sinister, Evil","Dark, Sinister, Evil","Full Band","[]","Jam starts at 4:58 with Trey running up and down to build tension. Again very patient and focused playing from Trey. 5:40 ""Maybe so Maybe Nots"" end but the jam is almost soley Trey and Fish. Slight mike thumping can be heard as Page adds slight 2-3 note trills. 6:21 the band starts to lock into a bit of a tension groove that has really polarizing elements. 6:43 we get a break and the jam begins to build, Fish getting more sporadic in his drumming. 7:01 Trey initiates another tension build that seems to fizzle and then gets slowly brought back very fluidly with a peak at 7:51 that leads into another build and much more dramatic tension release at 8:23. Just when the idea beings to feel stagnant at 9:01 Fish begins in with his crash and the band builds a screaching peak at 9:39 which is arguably the apex of the jam. 10:00 shows some more trills from Page playing off frantic Trey squeals. 10:19 Trey kicks in the ""Maybe So, Maybe Not"" riff and the song winds down.",""
"Jah","2011/5/27","Bethel, NY","Kill Devil Falls","Mid-set",783,"Classic Rock","Type 2","Bliss Jam","Happy (Major Chords)","Happy (Major Chords)","Trey","[""Whale-Call""]","The jam starts at 4:00 and like the earlier Tweezer the band immediately locks into a solid full band groove. Trey's playing is very subtle and adds perfect direction to the bands playing. 4:55 Trey and Fish begin playing around with the dynamics of the jam which lead to a bit of delay noodling at 5:12 - as Trey messes around with this Page provides some brief distraction. At 5:28 Trey announces Type II with an almost DJ-esque string scrape. Trey still resembles the KDF jam but is now something more ethereal and airy. 6:26 the band begins to tone it down and by 6:43 their playing is at its more stripped down. Trey;s guitar still has a dreamy tone to it while the rest of the band sticks to an earthier sound. 7:37 the jam starts to pick up steam and for the next minute the band starts laying down another foundation that by 8:43 begins to materliaze a build. The build lasts for a while as we see some whale calls at 9:39 that are quickly abbandoned in favor of building the jam again. By 10:09 Trey's guitar playing is more concentrated again and he makes a few attempts at a builds that are decent through 11:20 but never materliaze, by which point he begins to wind down the jam. At  11:54 return to the KDF riff - end jam",""
"Jah","2011/5/27","Bethel, NY","Carini","Set 2 Opener",446,"Psychedelic rock","Type 1","Standard Rock Jam (Type 1)","Dark, Sinister, Evil","Dark, Sinister, Evil","Trey","[]","Very standard Carini 5:37 Trey teases his guitar shrieks which immediately get shelved for more straight forward tight Type I jamming which starts to wind down at 6:21. At 6:31 re-enters Carini riff.","5:37:00"
"Jah","2011/5/27","Bethel, NY","Boogie On Reggae Woman","Mid 2nd Set",543,"Groove Rock/Funk Rock","Type 2","Plinko","Swampy ('95 specifically)","Swampy ('95 specifically)","Full Band","[""Mike's envelope filter""]","At 3:19 jam starts with Page laying the foundation of the plinko-jam. The band is completely locked with Mike soloing, Trey sliding the verse chords strategically in between everything. At 4:20 the band is able to augment the jam through Fishman changing up the beat. Once again at 4:39 - the band really shows their range with plinko style in this jam. At 4:56 Trey begins to get into the plinko mix. His guitar literally sounds like its being torn apart by the matrix. by 5:22 and again much of more fiercely at 5:52. This wind down is the sound equivalent of a steam engine running out of steam and continuing to try and putter along. The band is very tight as a transition like this is no easy task. By 6:55 Fishman's drumming breks up the structure and we enter an ""air-space"". Some spaceship tones at 7:20 and Page adds more space elements at 7:39 with the organ.  At 8:11 the jam is like a Fish flopping on a wooden deck as Page sounds its death horn. Mike's envelope filter makes a brief outro jam as we segue into Waves.",""
"Jah","2011/5/27","Bethel, NY","Waves","Mid 2nd Set",830,"Prog Rock","Type 2","Bliss Jam","Bliss","Bliss","Trey","[]","The first solid chunk of this solo is blissful Trey build-peak soloing over the band playing the backing track to Waves. at 6:37 finally we some change in direction as Page leads a solo for a bit. This ends up being short lived as by 6:56 the band brings the last verse in. At 7:38 the main jam begins: Page starts off the conversation one note taps on the baby grand. Trey phrases some simple pieces and mike joins at 8:17. 8:26 Trey and Page both start a cascading idea that begins a somewhat circular jam lasting until 9:05. The cycle is broken up by Page as he lays a steady two note foundation for a new jam direction. However by 9:32 the jam is stripped to almost nothing. By 10:00 just Trey tapping notes over faint fishman snare rolls. 10:17 Mike starts to tries a frantic build which Trey plays with for a bit but eventually melts away. By the 11 minute mark this evolves into a more full sound. This blends into an airy bliss jam that lasts for the rest of the jam and bleeds into a well placed Caspian",""
"Jah","2011/5/27","Bethel, NY","Crosseyed and Painless","Mid 2nd Set",723,"Psychedelic rock","Type 1","Experimental (Pushing Boundaries)","Pentatonic","Pentatonic","Trey","[""Brilliant Clavinet""]","Jam starts at 4:25 with Trey leading the band through a standard Type I rock jam. At 5:36 Page starts to lay-in subtly, still letting Trey take the lead. By 6:02 Page's influence is more apparent and driving, definitely a constant thread through the jam. Page adds grand at 6:44 - pushes forward and continues Type I rock. Trey brings in the riff and still waitings around 8:25. Jam appears to be over but then we are in immediately thrown into Evil Type II drone metal jam. Page adds subtle funk clav over evil Trey bends. Fish tries for a bigger ending but no one follows. Page lays in plinko at 11:08 - Fish picks up on it a bit but then the jam fizzles out at 11:30. Fishman tries to bring the beat back but the band stops amidst Trey whispering ""still waiting""","9:00-end"
"Jah","2011/5/28","Bethel, NY","Cities","Mid-set",542,"Groove Rock/Funk Rock","Type 1","Space Funk","Happy (Major Chords)","Happy (Major Chords)","Trey","[""Brilliant Clavinet""]","The real framework for this jam was laid down by Page back at 2:20 at the first mini-jam segment. Song comes back in around 3:17. By the time the real jam comes in Page has switched over to the grand. This starts at 4:43 and is now being lead by Trey. Concise fluid playing from Trey with now Page laying down the framework for Trey to build on. Mike interludes variantly and Fish keeps a constant cymbal riding. Very different from the space-funk interlude at 2:20 much more standard rock. Fishman attempts to vamp up the jam at 6:05 and persists which is picked up by Page who comes in with the clav at 6:15 in full force. Trey's lead is now soaring along side Page's clav. Really working together and not stepping on each other. Mike joins the action at 6:55 - full band Rock-Space-Funk Jam by 7:00 - still subtle though. This progressively builds until around the 8:00 minute mark where Fishman helps drive the final peak fo the song at 8:26-8:31.",""
"Jah","2011/5/28","Bethel, NY","Halley's Comet","Mid-set",722,"Barbershop music","Type 2","Cubist","Futuristic","Futuristic","Full Band","[""Whale-Call""]","From the begining of the jam the band is already trying to soar into type II. It happens somewhere around 7:05 with Page laying in the clav. 7:28- 7:45 has some good Page interplay but 7:45-10:00 Phish is playing about three different jam styles over the same idea. Starts off with some Trey loops and whale calls while Fishman is still playing a strong acid jazz beat and Page is laying down baby grand licks all while Mike lays down an evil monotonous (in a good way) bassline. Later on the jam levels out and beomes more Trey led but that segment is the soul of this jam. It's both happy and sad at the same time.","7:45-10:00"
"Jah","2011/5/28","Bethel, NY","Bathtub Gin","Set Closer",901,"Groove Rock/Funk Rock","Type 2","Standard Rock Jam (Type 1)","Dirty/Bluesy","Dirty/Bluesy","Trey","[""Segue-Fest""]","Good rock groove from the begining. Full band plalying tightly. 9:30-11:00 solid rock playing but nothign too out of the ordinary. 11:30 beginging of Manteca tease at 12:10-12:57 was a great tip of the hat to the NYE run from the previous year and reinvigorated the bands playing. The outro 2 minutes are another solid bit of Phish Type I rock to end the first set.","9:30-11:00 & 12:10-12:57"
"Jah","2011/5/28","Bethel, NY","Down With Disease","Set 2 Opener",934,"Post Rock","Type 2","Grateful Dead Type 2","Bliss","Bliss","Trey","[]","Standard begining while very well played. Trey is definitely feeling it. 8:08 Trey initiates Type II launch sequence and lift off at 8:30. By the time the jam gets into full gear its a dirty futuristic funk stomp. Mellows out at 10:40. 12:30-end turns into a really Airy post-rock jam.","10:40-12:27 & 12:30-end"
"Jah","2011/5/28","Bethel, NY","Backwards Down The Number Line","Mid 2nd Set",730,"Classic Rock","Type 2","Basic Tension and Release (Stash)","Pentatonic","Pentatonic","Trey","[]","7:30 through 9:30 is classic phish tension build-release jamming. These sections sound like they could have been picked right out of a Stash jam. Plenty of peaks.","7:30-9:30"
"Jah","2011/5/28","Bethel, NY","Harry Hood","Mid-set",757,"Prog Rock","Type 2","Contemplation/Reflection","Bliss","Bliss","Full Band","[""Dynamics (volume..)""]","Perfectly played Hood with a solid-patient bliss jam. Some tension parts in the build - great movement. no one member is leading this jam, they're creating a wall of sound throughout. Leads to a very big peak.","5:19 - end"
"Jah","2011/5/29","Bethel, NY","Simple","Mid 2nd Set",657,"Psychedelic rock","Type 2","Bliss Jam","Bliss","Bliss","Full Band","[""Whale-Call""]","Simple enough 'Simple'- until we hit the 7:20 mark when the band really starts to fade into a misty type II groove. Then 7:40-9:15 is pure bliss. Feels like smooth-funk for underwater dwellers. The jam is easily the highlight of this evening which didn't have many.","7:40-9:15"
"Jah","2011/5/29","Bethel, NY","Slave To The Traffic Light","Set Closer",723,"Post Rock","Type 1","Contemplation/Reflection","Happy (Major Chords)","Happy (Major Chords)","Trey","[""Dynamics (volume..)""]","This was the longest 'Slave' of 2011 - it was to end the last set of a triumphant three night run at Bethel Woods. The third night felt a little phoned in and maybe the band felt it to an extent because this set closing rendition of 'Slave' is patient and full of soulful playing from Trey. The band moves as one but Trey is definitely leading the charge. Fishman comes out around 7:55 and really helps Trey drive this jam home. 10:13-end Trey's solo feels a little cut-off considering the entire build but still proves a highlight for the evening.","7:55-end"
"Jah","2011/5/31","Holmdel, NJ","Sand","Mid-set",709,"Groove Rock/Funk Rock","Type 1","Space Funk","Pentatonic","Pentatonic","Trey","[""Brilliant Clavinet""]","Stays pretty standard until around 8:37 we have some Stash-esque tension release that really intesifies the jam which only gets more intense as Trey adds halloween-esque whails through 9:35. Overally straight forward 'Sand' rock with a solid pay-off at the end","8:37:00-9:35"
"Jah","2011/5/31","Holmdel, NJ","After Midnight","Set 2 Opener",708,"Classic Rock","Type 2","Standard Rock Jam (Type 1)","Dirty/Bluesy","Dirty/Bluesy","Trey","[]","Straight forward dirty blues rocker. Jam around 4:15 starts to get really deep Type II space-rock but then is quickly abbandoned at the end.","4:15-end"
"Jah","2011/5/31","Holmdel, NJ","Drowned","Mid 2nd Set",843,"Classic Rock","Type 2","Millenial (Sirens, Delays, Tractor Beams)","Futuristic","Futuristic","Trey","[""Page Synth""]","Jam stay's a standard rocker until Trey really lays on the carni-space-funk clav at the ~3min mark (LP version). Jam is similiar to 99 space-funk jaunts but then Trey spaces it out and then from around 4:45 til the end we get this futuristic milenial air jam that ends with that feeling Phish sometimes gives like a space-ship is about to take off.","4:45-end"
"Jah","2011/5/31","Holmdel, NJ","Maze","Mid 2nd Set",670,"Psychedelic rock","Type 1","Basic Tension and Release (Stash)","Dark, Sinister, Evil","Dark, Sinister, Evil","Trey","[]","6:49-7:07 you actually see relics of machine gun Trey and a bit more in the builds. Great high energy Maze jam. The jam has various tense builds that are best described as frantic. The highlight of the jam starts at 8:00 when Trey begins the foundation for the build and in classic phish fashion doesn't give us the drop until over a minute later at 9:20 building the tension to a throbbing point. Unfortunately as fantastic as the build is and for allt he time and effor the note at 9:16 is moderately botched. still th energy is so high at that point that the release is sure to prevail.","8:00-9:16"
"Jah","2011/6/1","Holmdel, NJ","Split Open and Melt","Mid 2nd Set",728,"Psychedelic rock","Type 2","Basic Tension and Release (Stash)","Dark, Sinister, Evil","Dark, Sinister, Evil","Full Band","[""Sirens""]","Many Melts start the jam off already in the middle of the turbulent nature of the jam - this one however starts in a patient groove-based build. We start to get some tension-release segments during the 7th minute that are more akin to what we're used to in a melt only in this instance its a much slower jaunt. Even though the jam is slower than usual, the band feels more in tune with each other - the build feels much bigger because they move as a unit. At 8:26 Trey lays in the delay effects and takes the jam out a bit further. When the idea gets stale the band returns to the more standard tension-play again however at the 10:00 mark Trey starts to build using sirens and millenial calls while Fish plays a spastic drum beat which chugs the jam along. The band hits the conventional route agian and begins the songs wind down by 11:00","8:26-11:00"
"Jah","2011/6/1","Holmdel, NJ","Tweezer","Set 2 Opener",792,"Groove Rock/Funk Rock","Type 2","Standard Rock Jam (Type 1)","Pentatonic","Pentatonic","Trey","[""Mike's Synth pedal""]","Trey leans into this jam slow - letting feedback create space and set the tempo for the jam. Smooth blues grooving from Trey with very solid rhythmic pop bass from Mike. At 7:20 Fish and Mike help bring the tempo down a bit and expand Trey's lead. Some tension builds through the 9th minute but nothing new- Trey's play gets more interesting at the begining of the 10th minute and explands into a jam of trills that Page soon follows into a peak at 10:40 and again around 11:03. Band starts to cool the jam off and at 11:49 as they start to wind down this is quite possibly the musical equivalent of dosing a fire. Beautiful misty outro with Page organ work which leads into the 'No Quarter' bust-out.","10:00-end"
"Jah","2011/6/1","Holmdel, NJ","No Quarter","Mid-set",604,"Classic Rock","Type 1","Nightmare Music","Dark, Sinister, Evil","Dark, Sinister, Evil","Trey","[""Page Synth""]","Some interesting Page synth interplay in between the verses and then the jam is just a brilliant rock journey with Trey as he travels accross the dark plays of this Zeppelin tune. Trey really plays with purpose and the band sits back and compliments him perfectly. His solo is definitely the highlight of the song. Page has some cool fills in the outro and throughout but Trey shreds this song like he's been waiting 28 years to cover it.","4:48-7:38"
"Jah","2011/6/3","Clarkston, MI","Wolfman's Brother","Opener",647,"Funk","Type 1","Hyper Funk","Pentatonic","Pentatonic","Trey","[""Mike Slapping/ Popping""]","Started the trent of Wolfman's that had the '97-'98 dirty funk feel but with a new modern spin all in the compact 3.0 package. Utica touched on it but this opener really nailed it. Page's switching between the clav and grand helps layer the sound and have it easily switch from straight funk to straight rock and back again and Trey's guitar playing is strong.",""
"Jah","2011/6/3","Clarkston, MI","Chalk Dust Torture","Mid-set",643,"Modern Rock","Type 2","Deconstruction","Pentatonic","Pentatonic","Trey","[]","Again this show exhibits classic 3.0 compact jams. Not the 20+ minute juggernauts of 1.0 but 10-15 minute jams that cover so many music flavors that when they're done they feel perfectly executed. This gets very spacey in the middle and minimalist. at 5:15 Fishman is barely playing. Page is non-existent. Aside from Camden '09 this was easily the most interesting CDT at this point. It gave hope to those who yearn for another Camden '99 version.","4:30-end"
"Jah","2011/6/3","Clarkston, MI","Down With Disease","Set 2 Opener",1494,"Psychedelic Rock","Type 2","Experimental (Pushing Boundaries)","Dark, Sinister, Evil","Dark, Sinister, Evil","Page","[""Trey Scratching"",""Brilliant Clavinet"",""Loops""]","10:00 starts dark swampy Type II - Page really leading the jam but a lot of interplay added with Trey and Mike. This eventually leads into an even swampier guitar-scrape-loop jam that last through the 11th and 12th minutes.  This eventually morphs into an industrial metal jaunt that serves at first as a build but eventually as a jam vehicle led by Trey's guitar trills and Page's grand. This lasts through the 18th minute and levels out around 18:40 into a much airy jam. The jam is still similiar to the industrial metal jam just now light instead of dark. very interesting contrast. between minutes 17-18 and 19-20. Battle of Phish gods between good and evil. Jam seems like it might end with a 3.0-esque lift off jam but then Trey seems to call an audible and segues into Fluffhead","10:00-end"
"Jah","2011/6/4","Cuyahoga, OH","Possum","Mid 2nd Set",621,"Classic Rock","Type 1","Undefined/New","Pentatonic","Pentatonic","","[""Dynamics (volume..)""]","What sets this Possum apart from others is the bizaare ""melting"" vibe the band created in how they began to sing the ""Possum"" chorus as well as the jam itself. The begining. Melting starts at around 5:18 from Trey's guitar. Slightly adding bends to the ends of licks that go just a little deeper than normal. Eventually band picks up on it even to the extent of Mike melting his singing during the chorus.","5:18-end"
"Jah","2011/6/4","Cuyahoga, OH","Sneakin' Salley Thru The Alley","Mid 2nd Set",783,"Classic Rock","Type 2","Plinko","Dirty/Bluesy","Dirty/Bluesy","Full Band","[""Mike's envelope filter"",""Brilliant Clavinet"",""Manteca Tease""]","This verison of Salley is easily the best of 2011 and is of my favorite examples of plinko playing. The first real extended jam that exhibited it this year. 6:04 starts Plinko from Page - the jams continues to the LP cut ""Blossom Jam"" - we start to see some dark morphing around 2:18 that turns into a millenial type siren jam for a bit but still keeping its plinko backgroun thanks to page's clav work. at around 2:50 we enter a dark industrial droning metal jam which serves as bridge with more plinko from Page which evolves into more funked out and eventually washes out into an ethereal mesh of swamp metal. Page leads the jam out with some odd organ(sytnh?) effects that resemble liff-off outros.","Blossom Jam"
"Jah","2011/6/4","Cuyahoga, OH","Harry Hood","Mid 2nd Set",925,"Prog Rock","Type 2","Bliss Jam","Bliss","Bliss","Full Band","[""Segue-Fest"",""Trey Rhythmic Chording""]","This isn't as much a strong hood jam as much as it is just fun. The segue into Have Mercy comes out of left field and the ending jam is basic Hood bliss. Trey teases 'Havey Mercy' and 'The Lizards' during the outro jam",""
"Jah","2011/6/5","Cincinnati, OH","Tweezer","Set 2 Opener",724,"Psychedelic Rock","Type 2","Plinko","Swampy ('95 specifically)","Swampy ('95 specifically)","Trey","[""Mike Slapping/ Popping"",""Unspecified Synthesizer""]","This jam never fully takes off but definitely is a stomping ground for excercising the plinko idea, eventually around 8:45 trey gives up and goes into straight Type I rocker which lasts for the rest of the song - some tension builds at the end but nothing extraordinary.",""
"Jah","2011/6/7","Mansfield, MA","Rock and Roll","Mid 2nd Set",1005,"Classic Rock","Type 2","Space Funk","Happy (Major Chords)","Happy (Major Chords)","Trey","[""Fishman Jazzy Feel"",""Trey Feedback""]","Jam starts off really funky but then eventually blends into a open Trey noodle-fest with Fishman driving the crew forward. Page and Mike mostly lay back during this period which starts around 2 minutes into the 'Mansfield Jam' - some dark looping jam at the end which blends inself into The Mango Song","Mansfield Jam"
"Jah","2011/6/8","Darien Lake, NY",2001,"Mid 2nd Set",525,"Funk","Type 2","Plinko","Futuristic","Futuristic","Full Band","[""Sirens"",""Segue-Fest"",""Mike's envelope filter""]","This jam is just dripping with funk - it starts off with normal funk, leads us into an interesting plinko funk (4:05) and then into space funk and even includes a ""What's The Use?"" tease that pays homage to the stand-alone version played earlier in the set - this was also the longest 2001 of 2011.","4:05-end"
"Jah","2011/6/10","Camden, NJ","Stash","Mid-set",847,"Prog Rock","Type 1","Basic Tension and Release (Stash)","Dark, Sinister, Evil","Dark, Sinister, Evil","Trey","[]","Very patient build, possibly the most patient of the year. 9:44 you can hear the band locking in. the tension continues for over a minute - at times Trey seems to back off and Page keeps pushing forward. Then Trey pushes forward and the rest of the band follows by 10:55 we're back to full blown Type I frantic-rock.","9:44-end"
"Jah","2011/6/10","Camden, NJ","The Curtain With","Set Closer",900,"Prog Rock","Type 1","Trey-led Noodling Jam","Bliss","Bliss","Trey","[""Dynamics (volume..)""]","There really aren't words that CAN properly explain this jam other than 'bliss' - it comes in at 9:00 - listen until the end and tell me there is a better word.","9:00-end"
"Jah","2011/6/11","Columbia, MD","Sand","Mid-set",624,"Groove Rock/Funk Rock","Type 1","Trey-led Noodling Jam","Dirty/Bluesy","Dirty/Bluesy","Trey","[""Brilliant Clavinet""]","Trey led jam but Page really elaborates the feel with drawn out funk romps. Mostly Trey led Type I rock improv. Some tension-release around the 6:30-7:09 - solid peak brought in hard with page on organ and grand. A few more builds and good communication between Mike and Fish but mostly a noodle jam at its core","5:53:09"
"Jah","2011/6/11","Columbia, MD","Reba","Mid-set",715,"Prog Rock","Type 1","Trey-led Noodling Jam","Bliss","Bliss","Trey","[]","",""
"Jah","2011/6/11","Columbia, MD","Rock and Roll","Mid 2nd Set",906,"Classic Rock","Type 2","Millenial (Sirens, Delays, Tractor Beams)","Futuristic","Futuristic","Full Band","[""Unspecified Synthesizer"",""Whale-Call"",""Mike's Synth pedal""]","This jam goes from Type I rocker - then Page lays on the organ to start to space evertthing out at 2:18 - this leads us into a nice little bliss jam which around 3:11 begins to morph into a wierd machine of the future sounding melinial type jam. This continues throughout the rest of the jam until the seque into Albuquerque","Columbia Jam"
"Jah","2011/6/11","Columbia, MD","Piper","Mid 2nd Set",634,"Modern Rock","Type 2","Experimental (Pushing Boundaries)","Futuristic","Futuristic","Page","[""Brilliant Clavinet"",""Unspecified Synthesizer""]","Starts off typical type 1 rock jam - 5:20 Page again with the organ helps usher in a new tempo and vibe to the jam. Trey picks up immediately and begins riffing along again still keeping the type I style as fishman doesn't change the rhythm up. Around the 7:00 mark the band starts to enter Type II territory with some wah pedal work from Trey. The real catalyst for the full plunge into type II is Mike's bass work at 7:33 which forces Fishman to change up his tempo. This leads us into a more subdued but still high pace jam. Clav helps provide some space funk sounds around the end as the jam fizzles out page then changes up to a clean keyboard soud to compliment Trey's now more funky guitar wah playing.","5:20-end"
"Jah","2011/6/12","Columbia, MD","Crosseyed and Painless","Set 2 Opener",645,"Groove Rock/Funk Rock","Type 1","Standard Rock Jam (Type 1)","Pentatonic","Pentatonic","","[""Crosseyed Tease""]","",""
"Jah","2011/6/12","Columbia, MD","Steam","Mid 2nd Set",619,"Modern Rock","Type 1","Standard Rock Jam (Type 1)","Dirty/Bluesy","Dirty/Bluesy","Trey","[]","Airy-dark ""wobble"" outro around 9:35-end","9:35-end"
"Jah","2011/6/14","Alpharetta, GA","Bathtub Gin","Mid 2nd Set",713,"Modern Rock","Type 1","Shred-Fest","Dorian (minor mixolydian)","Dorian (minor mixolydian)","Full Band","[]","Great Type I Bathtub Gin - the band is synced up and the peaks are coming strong and in unison. Not quite as good as Bethel night 2 but still a very solid verison",""
"Jah","2011/6/14","Alpharetta, GA","Down With Disease","Mid 2nd Set",704,"Psychedelic Rock","Type 2","Space Funk","Bliss","Bliss","Page","[""Loops"",""Brilliant Clavinet"",""Sirens""]","Jam strats with some pretty standard Trey shredding - then on a dime at 7:20 the band breaks it down into a more simpel jaunt which leads into an even more broken down single note jam that fades out over Page organ playing. Trey layers some backwards note loops and flange.  Eventually Page begins to take the lead with some Meatstick-type organ playing. This delves even darker driven by Mike's repetitive bassline. Some sirens enter around the end.",""
